Review Date,Reviewer,Review Rating,Review Title,Review Text,Brand
2023-08-31,Dan Timod,5,Just had a recent issue where I didn’t…,Just had a recent issue where I didn’t receive an item in my order. I was able to use the chat box on the website and got my refund within minutes. Super easy experience and friendly representative. Very happy with the service I was given.,OldNavy
2023-08-16,Gayle Woodle,1,If I could I would give it a minus…,"If I could I would give it a minus zero. I ordered six cotton tank tops, they deliberately sent me six polyester tank tops, and I refused to take my time and gas to return for a refund. Since it is NOT my mistake I should not have to PAY for their mistake. Needless to say, I will NOT be purchasing anything ever from this store again. They do not deserve my money, no way to run a business.",OldNavy
2023-06-25,Nancy hendrickson,4,Price is right!,"I order most of the things I wear from  different resources on line. Old Navy has decent selection of quality women’s items at very reasonable prices. My most recent order included pocket exercise shorts that I’m comfortably wearing now, 2 pair of linen pants, and a tshirt. With free shipping my total was less than $100.  All keepers and I especially look forward to wearing the black linen pants.",OldNavy
2023-07-18,William,1,No way to change order after completing,Ordered and mistakenly pressed complete order and there is no recourse to change the order. I wanted free shipping and wanted to order another item. There is no way to change but there should be. Zero customer service when seeking assistance from Old Navy!,OldNavy
2023-07-29,shan,1,I placed an order for my kids,"I placed an order for my kids, for back to school. The uniform pants and shorts arrived today ... with mold. Literally mold. I've never experienced this before in my life and I am sickened. I need this to be taken serious.",OldNavy
2023-06-19,Lloyd,1,Poor customer service and business,Never received items purchased online. After 3 weeks of waiting for order. After speaking to 2 reps only have gotten the run around. The second rep issued a refund without my permission. When asking to speak to a manager hung up the phone. Bad business.,OldNavy
2023-07-16,Linda ,1,Zero customer service,"The company will not exchange an item within 60 days, as their returns policy says it will.I will not ever shop at this store, or any of its affiliates, again.",OldNavy
2023-04-11,TickleMEhappy,1,Despite spending $140.00 I got charged shipping fees for using Paypal,I have spent hundred of dollars over the years at Old Navy. My last three orders in the past five months have come back where something is no longer available and I’m being refunded my money. That was irritating enough. Today I noticed I’m being charged shipping fees despite my order being $140 dollars (before shipping). The customer service says it is because I’ve used PAPAL. No where does it state that you will charged that additional cost for using one of their options. Spoke to two separate people on the phone (April 11) and heard the same thing. My fault for choosing PayPal versus visa. I’m beyond livid and thinking of sending the entire order back.,OldNavy
2023-05-11,Kaishla Pacheco,1,Never get my full order!!,Never get my full order!!! I am always missing items or get items from someone else’s orders. Last refund I received I was told if I have any issues moving forward I need to call my bank and put a stop payment on the transaction. Since they have “extended the courtesy for a second time” This is ridiculous considering they cannot get any orders right. I received the last order I placed with them and again I am shorted an item. These people have non existent customer service & won’t help you recover items you didn’t get. Do count on it!,OldNavy
2023-07-08,kori broadhurst,1,In-store Credit No Longer,When did their return/exchange/in-store credit policy get so bad? I was one day past the 30 day window from when my order was delivered. All I was hoping for was in-store credit but was told it was passed the 30 days (by one day!). Items still had tags and I had a receipt. Just be aware this is their policy now. Frustrating.,OldNavy
2023-04-26,Lucy Lannor,1,I returned an item in store almost two…,I returned an item in store almost two weeks ago. Their customer service rep on twitter said it takes 5 business days to refund when returned in store but it’s been way over that. This is ridiculous; I’ll probably have to do a chargeback at this point.,OldNavy
2023-02-15,Christee Bailey,1,ON mistake,"I ordered Rib Racerback Ocean 3-Pack twice, returned to ON store once, reordered and called three times based on an inaccurate web description.  Yet no recourse, not even a discount was offered for Old Navy's mistake. Disappointed in Old Navy Customer Service!!",OldNavy
